央视频道️,#genre#
CCTV3,http://113.57.20.158:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://114.243.103.165:8822/rtp/239.3.1.172:8001
CCTV3,http://114.243.104.64:8822/rtp/239.3.1.172:8001
CCTV3,http://115.234.227.164:8808/udp/233.50.200.107:5140
CCTV3,http://116.117.105.198:8096/tsfile/live/0003_1.m3u8
CCTV3,http://117.32.85.85:8025/rtp/239.112.205.221:5140
CCTV3,http://117.72.68.25:9930/migu.php?id=cctv3
CCTV3,http://118.251.60.185:8888/udp/239.76.253.153:9000
CCTV3,http://120.234.5.29:6000/udp/239.20.0.28:3292
CCTV3,http://121.24.98.154:8090/hls/11/index.m3u8
CCTV3,http://121.24.98.232:8090/hls/11/index.m3u8
CCTV3,http://123.122.162.7:19999/rtp/239.3.1.107:8001
CCTV3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.145.66.45:8004/udp/225.0.4.142:7980
CCTV3,http://123.182.60.29:9002/hls/3/index.m3u8
CCTV3,http://123.7.110.43:9901/tsfile/live/0003_1.m3u8
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8
CCTV3,http://139.196.228.200:5678/mghd1080.php?id=cctv3
CCTV3,http://1732e975z9.zicp.fun:8082/hls/3/index.m3u8
CCTV3,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8
CCTV3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv3
CCTV3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://221.196.136.66:1/udp/225.1.1.158:5002
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV3,http://58.48.37.158:1111/tsfile/live/0003_1.m3u8
CCTV3,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://60.164.128.167:8029/rtp/239.255.29.12:8231
CCTV3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://dd.ddzb.fun/php/migu.php?id=cctv3
CCTV3,http://dms.yryyj.site:8188/udp/239.76.246.153:1234
CCTV3,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.34:9722
CCTV3,http://ha.xushining.com:50000/udp/225.1.1.158:5002
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3
CCTV3,http://vod.hnqczh.cn:808/hls/11/index.m3u8
CCTV3,http://wouu.net:9977/udp/239.93.1.11:2223
CCTV3,http://www.erbao1981.top:8188/udp/239.76.253.153:9000
CCTV3,http://www.furymax.top:85/rtp/239.69.1.122:10370
CCTV4,http://101.43.66.162/migunew.php?id=cctv4
CCTV4,http://101.43.66.162/migunew.php?id=cctv4a
CCTV4,http://101.43.66.162/migunew.php?id=cctv4o
CCTV4,http://106.120.14.74:2333/udp/225.1.8.104:8216
CCTV4,http://106.120.14.74:2333/udp/225.1.8.4:8092
CCTV4,http://110.177.146.152:888/udp/239.1.1.10:8010
CCTV4,http://112.123.206.32:808/hls/4/index.m3u8
CCTV4,http://112.234.23.81:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://113.109.251.4:9999/udp/239.77.1.163:5146
CCTV4,http://114.243.103.165:8822/rtp/239.3.1.105:8092
CCTV4,http://114.243.103.165:8822/rtp/239.3.1.213:4220
CCTV4,http://114.243.103.165:8822/rtp/239.3.1.214:4220
CCTV4,http://114.243.104.64:8822/rtp/239.3.1.105:8092
CCTV4,http://115.234.227.164:8808/udp/233.50.200.101:5140
CCTV4,http://116.117.105.198:8096/tsfile/live/0004_1.m3u8
CCTV4,http://116.117.106.144:8096/tsfile/live/0004_1.m3u8
CCTV4,http://116.227.10.196:2048/udp/239.45.0.2:5140
CCTV4,http://117.32.85.85:8025/rtp/239.112.205.202:5140
CCTV4,http://117.72.68.25:9930/migu.php?id=cctv4
CCTV4,http://117.72.68.25:9930/migu.php?id=cctv4a
CCTV4,http://118.122.189.74:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.251.60.185:8888/udp/239.76.253.154:9000
CCTV4,http://118.251.60.185:8888/udp/239.76.253.95:9000
CCTV4,http://118.251.60.185:8888/udp/239.76.253.96:9000
CCTV4,http://120.234.5.29:6000/udp/239.20.0.16:3340
CCTV4,http://121.24.98.154:8090/hls/12/index.m3u8
CCTV4,http://123.122.162.7:19999/rtp/239.3.1.213:4220
CCTV4,http://123.122.162.7:19999/rtp/239.3.1.214:4220
CCTV4,http://123.122.162.7:19999/rtp/239.3.1.4:8216
CCTV4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.145.66.45:8004/udp/225.0.4.176:7980
CCTV4,http://123.166.61.70:8003/hls/41/index.m3u8
CCTV4,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV4,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8
CCTV4,http://139.196.228.200:5678/mghd1080.php?id=cctv4
CCTV4,http://182.117.136.124:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv4
CCTV4,http://219.159.194.172:8181/tsfile/live/0004_1.m3u8
CCTV4,http://220.164.192.48:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://221.196.136.66:1/udp/225.1.1.150:5002
CCTV4,http://36.35.16.98:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://dd.ddzb.fun/php/migu.php?id=cctv4
CCTV4,http://dd.ddzb.fun/php/migu.php?id=cctv4a
CCTV4,http://dd.ddzb.fun/php/migu.php?id=cctv4o
CCTV4,http://dms.yryyj.site:8188/udp/239.76.245.195:1234
CCTV4,http://dms.yryyj.site:8188/udp/239.76.246.154:1234
CCTV4,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.206:9224
CCTV4,http://ha.xushining.com:50000/udp/225.1.1.150:5002
CCTV4,http://kxrj.site:998/123/mg.php?id=cctv4
CCTV4,http://tvbox6.icu/tv/migu.php?id=cctv4
CCTV4,http://vod.hnqczh.cn:808/hls/12/index.m3u8
CCTV4,http://wouu.net:9977/udp/239.93.1.105:5140
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.154:9000
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.95:9000
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.96:9000
CCTV4,http://www.furymax.top:85/rtp/239.69.1.138:10466
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV4K,http://113.12.136.85:4022/udp/239.81.0.69:4056
CCTV4K,http://113.12.136.85:4022/udp/239.81.0.71:4056
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV4美洲,http://114.243.104.64:8822/rtp/239.3.1.214:4220
CCTV4欧洲,http://114.243.104.64:8822/rtp/239.3.1.213:4220
CCTV4欧洲,http://tvbox6.icu/tv/migu.php?id=cctv4o
CCTV5,http://1.24.190.98:10089/hls/9/index.m3u8
CCTV5,http://101.43.66.162/migunew.php?id=cctv5
CCTV5,http://106.120.14.74:2333/udp/225.1.8.89:8000
CCTV5,http://106.120.14.74:2333/udp/225.1.8.93:8000
CCTV5,http://110.177.146.152:888/udp/239.1.1.11:8011
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV5,http://113.109.251.4:9999/udp/239.77.0.170:5146
CCTV5,http://113.12.136.85:4022/udp/239.81.0.232:4056
CCTV5,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://114.243.103.165:8822/rtp/239.3.1.173:8001
CCTV5,http://114.243.104.64:8822/rtp/239.3.1.173:8001
CCTV5,http://115.234.227.164:8808/udp/233.50.201.197:5140
CCTV5,http://116.117.105.198:8096/tsfile/live/0005_1.m3u8
CCTV5,http://117.32.85.85:8025/rtp/239.112.205.222:5140
CCTV5,http://117.72.68.25:9930/migu.php?id=cctv5
CCTV5,http://118.122.189.74:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://118.251.60.185:8888/udp/239.76.253.155:9000
CCTV5,http://119.163.199.98:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://120.234.5.29:6000/udp/239.20.0.30:3284
CCTV5,http://121.24.98.154:8090/hls/13/index.m3u8
